death_cat,sex_cat,age_years,fx,n,prop,cume_prop
All deaths,Female,38,0.042822425185658756,56118,0.0019816031324004896,0.03681824128572914
All deaths,Female,39,0.033615012988578,61340,0.0021659990759016006,0.03898424036163074
All deaths,Female,40,0.024659711268052793,66301,0.0023411787533640697,0.041325419114994814
All deaths,Female,41,0.01695918761447797,71854,0.002537262758393114,0.043862681873387925
All deaths,Female,42,0.011516109618248347,78360,0.002766998493440649,0.046629680366828574
All deaths,Female,43,0.008874687778303057,86205,0.0030440161450619087,0.049673696511890485
All deaths,Female,44,0.006911310073752394,93523,0.00330242470778522,0.0529761212196757
All deaths,Female,45,0.005210481177017742,101969,0.0036006644892502496,0.05657678570892596
All deaths,Female,46,0.0037734365116927847,111234,0.003927824277939984,0.06050460998686594
All deaths,Female,47,0.002601411501371209,120362,0.004250146409743536,0.06475475639660948
All deaths,Female,48,0.0016956415696467019,130243,0.004599057998739031,0.0693538143953485
All deaths,Female,49,0.0010573621401129489,141283,0.00498889545876436,0.07434270985411287
All deaths,Female,50,6.878086363636364e-4,152157,0.005372871232343656,0.07971558108645652
All deaths,Male,15,0.0017668876773103404,18383,6.453153852132314e-4,0.016203303096453712
All deaths,Male,16,0.0045912830669994536,27235,9.56055296539322e-4,0.017159358392993034
All deaths,Male,17,0.011013175414442853,36047,0.0012653910510135099,0.01842474944400654
All deaths,Male,18,0.021783645457839826,49407,0.0017343794395490466,0.020159128883555588
All deaths,Male,19,0.03431674001837656,56631,0.0019879701670026933,0.022147099050558283
All deaths,Male,20,0.045743683121313335,59527,0.002089631123080456,0.024236730173638737
All deaths,Male,21,0.0556289996309591,65562,0.0023014832881112918,0.02653821346175003
All deaths,Male,22,0.06469709618227525,66466,0.0023332172329642953,0.028871430694714324
All deaths,Male,23,0.07224212361688567,66722,0.002342203836816473,0.0312136345315308
All deaths,Male,24,0.07902997701835508,67628,0.0023740079895120717,0.03358764252104287
All deaths,Male,25,0.08561254090818986,67656,0.002374990899308404,0.035962633420351275
All deaths,Male,26,0.09211547065243064,68285,0.002397071265804575,0.03835970468615585
All deaths,Male,27,0.09779504129335938,69113,0.0024261373126389634,0.040785841998794814
All deaths,Male,28,0.10279619302891482,69870,0.002452710981061224,0.043238552979856036
All deaths,Male,29,0.1070165692457505,71303,0.0025030149002806417,0.045741567880136676
All deaths,Male,30,0.10889846786565852,71938,0.002525305890304599,0.048266873770441275
All deaths,Male,31,0.10900398258662092,73662,0.0025858250506216097,0.050852698821062886
All deaths,Male,32,0.10514395255006061,74897,0.0026291783934241086,0.053481877214486995
All deaths,Male,33,0.09881422948057204,77467,0.002719395471158864,0.056201272685645856
All deaths,Male,34,0.09133568438906195,80979,0.0028426804427559302,0.05904395312840179
All deaths,Male,35,0.08274520828374114,84640,0.0029711958986263346,0.06201514902702812
All deaths,Male,36,0.07351819765685198,87885,0.0030851081232369493,0.06510025715026507
All deaths,Male,37,0.06416089597396762,93765,0.0032915191804666617,0.06839177633073174
All deaths,Male,38,0.054630989098228715,99067,0.0034776401711863786,0.07186941650191811
All deaths,Male,39,0.04562035782080747,105250,0.0036946877165692543,0.07556410421848737
All deaths,Male,40,0.038047394715906284,112804,0.003959862738051099,0.07952396695653846
All deaths,Male,41,0.030798253412718673,120846,0.004242168473126158,0.08376613542966463
All deaths,Male,42,0.024861280545961675,129678,0.004552206306026297,0.08831834173569092
All deaths,Male,43,0.019907608495342413,139887,0.00491058223855319,0.09322892397424411
All deaths,Male,44,0.01594921268790583,151593,0.005321508741262546,0.09855043271550666
All deaths,Male,45,0.012702791435337542,164194,0.005763853253533228,0.10431428596903988
All deaths,Male,46,0.010030898190292924,179427,0.006298591286659113,0.110612877255699
All deaths,Male,47,0.00793725466720812,194718,0.006835365347220257,0.11744824260291925
All deaths,Male,48,0.00628955972456538,210392,0.0073855842096383715,0.12483382681255763
All deaths,Male,49,0.004998087592061977,227466,0.007984948561873083,0.1328187753744307
All deaths,Male,50,0.003926910618318337,244698,0.008589859333672812,0.14140863470810353
Non-cancer,Female,10,4.253009015195239e-5,3972,1.782519755026497e-4,0.013772388472805557
Non-cancer,Female,11,1.63670969611439e-4,4250,1.907278187024827e-4,0.01396311629150804
Non-cancer,Female,12,3.5374855188390395e-4,4603,2.0656944693824185e-4,0.014169685738446281
Non-cancer,Female,13,0.0011128827593187736,5465,2.4525353628448656e-4,0.014414939274730768
Non-cancer,Female,14,0.00508309600653137,6816,3.058825440649699e-4,0.014720821818795738
Non-cancer,Female,15,0.011724224471988629,8553,3.838341254970199e-4,0.015104655944292757
Non-cancer,Female,16,0.019941080597318618,11857,5.321081756130205e-4,0.015636764119905777
Non-cancer,Female,17,0.028638476824149404,13815,6.199776036175997e-4,0.016256741723523378
Non-cancer,Female,18,0.03747762190142501,16738,7.511534657510953e-4,0.017007895189274473
Non-cancer,Female,19,0.049465049699884064,17696,7.941457599433256e-4,0.0178020409492178
Non-cancer,Female,20,0.06314606924179736,18276,8.201744975544879e-4,0.018622215446772287
Non-cancer,Female,21,0.07626107586269913,19961,8.957924680282958e-4,0.019518007914800583
Non-cancer,Female,22,0.08655046489812364,19962,8.958373451621081e-4,0.02041384525996269
Non-cancer,Female,23,0.09257886408769646,20790,9.32995611958733e-4,0.021346840871921423
Non-cancer,Female,24,0.09771690110167783,21389,9.598770151123299e-4,0.022306717887033752
Non-cancer,Female,25,0.10227934500570383,22382,0.0010044400089879923,0.023311157896021745
Non-cancer,Female,26,0.10583282556245006,23381,0.0010492722656665289,0.024360430161688273
Non-cancer,Female,27,0.10794397253459213,24316,0.001091232385781075,0.02545166254746935
Non-cancer,Female,28,0.10826963141016406,25479,0.0011434244924048368,0.026595087039874187
Non-cancer,Female,29,0.1071893662235705,26855,0.001205175428530629,0.027800262468404814
Non-cancer,Female,30,0.1050542133684351,27963,0.0012548992927947113,0.029055161761199527
Non-cancer,Female,31,0.10215517572630956,28839,0.001294211662014329,0.030349373423213855
Non-cancer,Female,32,0.09878325617874559,30805,0.001382440107089407,0.031731813530303264
Non-cancer,Female,33,0.09455464365632324,32273,0.001448319739525935,0.033180133269829194
Non-cancer,Female,34,0.08630944950099032,33896,0.0015211553277033772,0.034701288597532576
Non-cancer,Female,35,0.07519206484590447,36285,0.0016283668003810787,0.036329655397913656
Non-cancer,Female,36,0.0630881383492201,38378,0.0017222946414503248,0.03805195003936398
Non-cancer,Female,37,0.05188331866909162,40731,0.0018278905373107818,0.03987984057667476
Non-cancer,Female,38,0.042822425185658756,43756,0.001963643867093137,0.0418434844437679
Non-cancer,Female,39,0.033615012988578,47159,0.0021163607534565605,0.043959845197224456
Non-cancer,Female,40,0.024659711268052793,50257,0.002255390114007217,0.04621523531123167
Non-cancer,Female,41,0.01695918761447797,53415,0.002397112102586615,0.04861234741381829
Non-cancer,Female,42,0.011516109618248347,57629,0.0025862243444718528,0.051198571758290144
Non-cancer,Female,43,0.008874687778303057,62100,0.0027868700097468647,0.053985441768037004
Non-cancer,Female,44,0.006911310073752394,66625,0.002989939040247743,0.05697538080828475
Non-cancer,Female,45,0.005210481177017742,71516,0.0032094331017239416,0.06018481391000869
Non-cancer,Female,46,0.0037734365116927847,77276,0.003467925392483071,0.06365273930249177
Non-cancer,Female,47,0.002601411501371209,82303,0.0036935227441577487,0.06734626204664951
Non-cancer,Female,48,0.0016956415696467019,87852,0.003942545959682473,0.07128880800633199
Non-cancer,Female,49,0.0010573621401129489,93813,0.004210058554337885,0.07549886656066987
Non-cancer,Female,50,6.878086363636364e-4,99653,0.004472141015802002,0.07997100757647187
Non-cancer,Male,15,0.0017668876773103404,16951,7.747820796849497e-4,0.02029023132851062
Non-cancer,Male,16,0.0045912830669994536,25676,0.00117357705610234,0.02146380838461296
Non-cancer,Male,17,0.011013175414442853,34363,0.0015706351604161362,0.023034443545029096
Non-cancer,Male,18,0.021783645457839826,47517,0.002171867151223512,0.025206310696252607
Non-cancer,Male,19,0.03431674001837656,54553,0.002493462733352195,0.027699773429604804
Non-cancer,Male,20,0.045743683121313335,57281,0.0026181518675260224,0.030317925297130826
